resource,出现次数,平均relevance,平均actionability,代表性证据,note_url
Plan-And-Execute,1,3.0,3.0,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
Plan-And-Execute 模式实现代码,1,3.0,3.0,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
Prometheus,1,5.0,5.0,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search
Boss直聘远程接单群（已被评价为不可用）,1,2.0,2.0,主要问题：boss直聘上的渠道直接拉一个群里，每天丢单子，看起来大部分是学生的作业和毕设，单价低，而且对技术栈要求杂，有fpga 嵌入式，有画multisim 仿真等，纯软很少，性价比低,https://www.xiaohongshu.com/explore/6888549f000000002203d7d1?xsec_token=AB5y7vigr5QenENFC4iMrRi1q_4gj78SvkSxkUmCBF_-0=&xsec_source=pc_search
QQ,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
Boss直聘,1,2.0,2.0,主要问题：boss直聘上的渠道直接拉一个群里，每天丢单子，看起来大部分是学生的作业和毕设，单价低，而且对技术栈要求杂，有fpga 嵌入式，有画multisim 仿真等，纯软很少，性价比低,https://www.xiaohongshu.com/explore/6888549f000000002203d7d1?xsec_token=AB5y7vigr5QenENFC4iMrRi1q_4gj78SvkSxkUmCBF_-0=&xsec_source=pc_search
AutoGen（微软）,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
ReAct 模式实现代码,1,3.0,3.0,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
AutoGPT,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Relevance AI,1,3.0,3.0,文科背景做产品其实很有优势！用Relevance AI + Firecrawl组合做销售前置研究自动化切入点非常准，这种场景下销售就是最感知价值的岁月。,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
Anthropic,1,1.0,2.0,不管你用什么框架，底层就是这个循环，50行Python就能实现。理解了这个，后面学什么框架都是秒懂。,https://www.xiaohongshu.com/explore/69c61b140000000021038314?xsec_token=AB2rQ0aSmMGlfvdWO-MHYnLBwLKeupAx0FO8hVNNPIpHY=&xsec_source=pc_search
SOLO,1,3.0,2.0,SOLO独立端有93%代码都是AI写的！他们用 SOLO 自己来开发 SOLO，最后跑出来的数据是这样的：100万行代码，9000多次提交，AI代码贡献率93%,https://www.xiaohongshu.com/explore/69d9e6480000000022028e44?xsec_token=ABsVYQoAnfyZoMOYk3CJRaX0Iwro9Di09YVGWO1q3lvQ8=&xsec_source=pc_search
SOLO 独立端邀请码,1,3.0,2.0,SOLO独立端有93%代码都是AI写的！他们用 SOLO 自己来开发 SOLO，最后跑出来的数据是这样的：100万行代码，9000多次提交，AI代码贡献率93%,https://www.xiaohongshu.com/explore/69d9e6480000000022028e44?xsec_token=ABsVYQoAnfyZoMOYk3CJRaX0Iwro9Di09YVGWO1q3lvQ8=&xsec_source=pc_search
SOLO独立端,1,4.0,4.0,跟我们开发经验差不多……我们现在招人标准也是看顶层架构的设计能力，是否擅长管理多个agent并行处理任务,https://www.xiaohongshu.com/explore/69d9e6480000000022028e44?xsec_token=ABsVYQoAnfyZoMOYk3CJRaX0Iwro9Di09YVGWO1q3lvQ8=&xsec_source=pc_search
SWE benchmark,1,4.0,4.0,没跑过benchmark的项目确实就是玩具，没有耗时，token消耗，代码修复成功率，去跑一下swe吧,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
Skill,1,2.0,2.0,这种感觉有点没有必要做成Agent[笑哭R]做一个skill就可以实现,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
Skills,1,2.0,2.0,你以为Agent、MCP、Skill、Claude Code、OpenClaw是5个并列概念？它们其实是一栋楼的不同层！,https://www.xiaohongshu.com/explore/69dee883000000001a02e821?xsec_token=ABkgE-D9gv6c29MmvkPFTaUCuJBZKinncpDhoun5BEOs4=&xsec_source=pc_search
Skill系统,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
Akashic Agent开源项目地址（评论区）,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
Smolagents (24.6K stars) - Hugging Face CodingAgent项目,1,4.0,4.0,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Smolagents (24.6K stars) - HuggingFace项目,1,2.0,1.0,GenAI_Agents 18.8K🌟 地表最强Agent学习、开发综合资源库。收录了非常多的Agent实现，从入门到精通一站式搞定。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Smolagents - HuggingFace项目,1,3.0,2.0,不过新手建议先啃Hello-agents，中文友好上手快，其他几个适合进阶深挖,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Smolagents（24.6K stars）,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Unity Asset Store,1,2.0,2.0,编程：Claude Code（Pro订阅，最值的一笔钱）| 基本上除了 Unity 素材和Claude Code，其他都是零成本起步的。,https://www.xiaohongshu.com/explore/6a0481b0000000000f03ac01?xsec_token=AB0o6TPGOO3p2iWgZZLaf0TllqHNOeue49RXQsMDuOehY=&xsec_source=pc_search
