pain_point,出现次数,代表性原文,对应用户需求,可转化功能,note_url
不知道如何变现技术能力,1,程序员最简单的赚钱方式，不是手搓agent，是在Github上找一个开源项目，封装成产品，卖出去试试,副业赚钱机会,,https://www.xiaohongshu.com/explore/68eee7330000000004020f89?xsec_token=ABLb5IhV-6rQTlWxxLjrCyvp24yX37sN3NrF5n_9vG-Pg=&xsec_source=pc_search
不知道如何利用AI工具提升效率,1,将客户的问题描述清楚，直接扔给gpt。gpt给出的代码可能不能一次成功，如果报错了就重新抛给它，让它继续修改，直到代码可以正常运行。,副业/兼职机会,AI辅助接单Agent：帮助用户筛选需求、报价、自动生成代码方案,https://www.xiaohongshu.com/explore/668b88520000000025002abb?xsec_token=AB7kAw-HvVfJFD4kGj4sP1TbRnlPydqnwhQRTyAO0wRrQ=&xsec_source=pc_search
不知道如何兜底模型幻觉导致的错误行动,1,能写进简历的agent项目，和真正有工程价值的agent项目，判断标准不是复杂度，是有没有处理过真实的失败场景。,需要能写进简历的有价值的agent项目,Agent项目选择评估工具：基于用户技术栈推荐合适的项目方向,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search
不知道如何从零搭建向量数据库,1,请问修改的时候加的向量数据库也是从零开始搭吗，还是就是改一下原项目的数据？,需要了解向量数据库的搭建方法,Agent项目开发教程（涵盖向量数据库搭建）,https://www.xiaohongshu.com/explore/69f5912600000000350312e2?xsec_token=ABuNsgyCSuf2KqehYQ7mppDSplLuH6S21yUUN9tM4kUYQ=&xsec_source=pc_search
不知道如何从零开始学习agent开发,1,高学历低能力零基础如何找到Agent开发实习 这期给大家整理了下我的学习路径和经历！,清晰的agent学习路线规划,Agent学习路线生成器：根据用户背景定制学习计划,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search
不知道在哪里学习Agent开发,1,agent有推荐的b站课程吗,寻找B站上的Agent学习课程,Agent学习课程推荐功能,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
不知道哪些项目可以写进简历,1,这些项目可以包装成简历吗,可写在简历上的AI/Agent项目清单,简历项目推荐：根据用户水平推荐可包装的项目,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
不清楚agent中tool与skill里script的区别,1,可以讲讲agent和skill的关系吗 以及agent里的tool和skill里带的script的区别是什么,需要通俗易懂的概念解释,开发Agent教学Agent，可以类比费曼学习法，将复杂技术概念用简单语言解释,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
不清楚Agent项目在简历中应该突出哪些亮点,1,请问可以分享一下简历里面如何描述这个项目的技术栈和亮点吗,简历中AI项目描述的写作模板,简历项目描述优化Agent：输入项目技术细节，输出简历 bullet points,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
不知道如何评估自己的项目是否足够写进简历,1,主播厉害的。我想问项目代码量是不是有要求啊。,希望了解简历项目的代码量门槛或评判标准,提供简历项目评估工具：输入项目描述，输出简历可用性评分和代码量/完整度建议,https://www.xiaohongshu.com/explore/69f5912600000000350312e2?xsec_token=ABuNsgyCSuf2KqehYQ7mppDSplLuH6S21yUUN9tM4kUYQ=&xsec_source=pc_search
AI理论和实践太匮乏,1,基于您的面试经验 我想请教下我个人偏技术相关 熟悉很多ai知识和开发要领 您觉得会在这个岗位占优势吗？,想了解技术背景在AI PM岗位的竞争力,AI PM面试题库/实战模拟工具,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
Agent项目面试被深度拷问技术细节,1,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent,了解Agent项目面试会问哪些技术问题,Agent项目面试题库/题解功能,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
Agent项目没有跑过benchmark，缺乏量化指标,1,没跑过benchmark的项目确实就是玩具，没有耗时，token消耗，代码修复成功率，去跑一下swe吧,Agent实习机会,Agent项目benchmark评估工具,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
Agent过度设计问题,1,这种感觉有点没有必要做成Agent[笑哭R]做一个skill就可以实现,,可以建立Agent vs Skill的使用场景指南，帮助用户判断何时用Agent、何时用Skill,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
Agent开发者需要兼顾后端技能储备,1,我暑期面agent不会后端好吃亏，感觉现在好多面试官都是后端转的rag，agent问得反而不深,后端技术学习路径,Agent学习路线中增加后端模块（Python后端、数据库、API开发）,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search
Agent岗位面试需要掌握大量深度学习算法知识（Transformer、Attention、SFT、RLHF等）,1,为啥agent问这么多算法知识[哭惹R],了解Agent岗位的真实面试考察范围,AI/Agent岗位面试题库和知识图谱工具,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
Agent多轮对话中Attention的局限性理解,1,手撕代码：torch写SFT的loss计算代码（注意shift right）,Agent面试准备,Agent面试题库/模拟面试Agent,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
Agent在处理复杂公司多维度信息时准确率有限,1,文科背景做产品其实很有优势！用Relevance AI + Firecrawl组合做销售前置研究自动化切入点非常准，这种场景下销售就是最感知价值的岁月。,想了解Agent技术性能指标,销售前置研究自动化,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
Agent 基础概念不清晰,1,项目就是 P2 的 learn-claude-code，在学习的这两小时里，star 数又涨了 1k，参考 README 上写的，就是一个渐进式 Agent 设计教程,需要系统学习 Agent 的入门项目,Agent 学习路径推荐功能：根据用户目标推荐学习项目,https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search
AI理论和实践匮乏,1,我进去了，但是我的面试经验贴流量远远不如你。为什么呢到底,学习AI产品经理的系统方法,,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
B站上缺乏完整路线的高质量agent项目,1,"主播在B站找了好久没找到好学有完整路线的agent项目, 求推荐对应项目或者知识星球",需要能写到简历上的agent项目案例,提供体系化的agent项目课程，从零到一完成可写简历的项目,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
AI焦虑（标签提及，无具体内容）,1,AI 时代，风口转得比换手机壳还快。,,,https://www.xiaohongshu.com/explore/69ce826f000000002200cc32?xsec_token=ABMBaUl__d7bEuU90q8X408jPJXex1rFONDmVh_7d3uIo=&xsec_source=pc_search
AI深度知识掌握较难,1,可以看看面经，AI产品offer很多，这些问题感觉问的还是少，基本上还是以简历深挖为主，另外ai深度比较难,需要面经资源了解真实面试问题,AI产品经理面经库/题库整理,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
AI发展过快带来的工作压力,1,我们一天最多一次3亿，上一年一年才三亿，当然也有可能是Opencode工具的subagent有问题导致的，平时一天用4千万token这样，ai发展的超级快，现在我们公司的供应商管理、转账全部给ai做了,,企业级Agent应用场景（供应商管理、自动化转账）可作为产品设计参考,https://www.xiaohongshu.com/explore/698c725a000000000e00efff?xsec_token=ABOlRr49EXXx3JNvF_QdO7nDE-57b-OMghEqIH--OoUDk=&xsec_source=pc_search
AI助手无法真正理解用户偏好和习惯,1,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,需要能写进简历的高质量AI项目,开发简历项目生成器，帮助用户快速搭建可写的Agent项目,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
AI Agent技术发展时间短（1年多），但招聘市场要求5年以上经验,1,Agent才1岁多，市场已经要求5年以上经验,需要理解市场真实需求,AI行业就业现状分析工具,https://www.xiaohongshu.com/explore/69d28386000000001a032278?xsec_token=ABsc3r3xgmJfQomjiRcPlNj8wUBEDDEz7-H6mrWOhdvcM=&xsec_source=pc_search
ADHD用户难以启动项目,1,每天但凡想偷懒躺一下，都会想着今天的claude code还没有物尽其用于是爬起来干会活,需要外部约束力帮助启动任务,为ADHD/拖延症用户设计带激励机制的找工Agent,https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
ADHD导致的启动困难,1,claude 赋予了我远超我水准的代码能力，之前所有的想法几十个同时开始弄，每个都弄到一半不想弄了,需要AI工具辅助完成项目,针对ADHD/执行力弱人群的AI任务分解助手,https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
35岁被优化风险,1,35岁被优化那天，靠什么养家？别等到那天，才后悔没早点动手。,需要额外的收入来源,,https://www.xiaohongshu.com/explore/68eaf2e000000000040037fe?xsec_token=ABzUA-CrFC_yNTMSaDhcQ9cWbg3T-hL-XQgTY0j-QLofI=&xsec_source=pc_search
App上线后用户获取困难,1,整套流程里，写代码只占不到30%，真正的是后面这70%的“软成本”,降低App开发合规成本的解决方案,AI辅助合规流程（如备案材料自动生成）,https://www.xiaohongshu.com/explore/68f5fbd8000000000301b430?xsec_token=ABYZ_9FrX4unhpZe27_19YnpsK5kH7Vl818FBkAOJzoSE=&xsec_source=pc_search
B站等平台Agent教学资源分散、不系统,1,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,完整路线的Agent项目教程,简历项目库：收录可写到简历上的Agent项目，附带完整代码和文档,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
不清楚Agent开发和Agent算法的区别与边界,1,想请问一下，这是算agent开发还是agent算法的项目,需要一个清晰的Agent领域技术分类体系,提供一个「Agent领域术语词典/分类指南」功能，帮助用户理解agent开发、agent算法、agent应用等概念的区别,https://www.xiaohongshu.com/explore/69eda6f0000000001a0377d6?xsec_token=ABi4nt48DhkLWSx7p21vI5v1jyUOIHxXJYmTBnlzcSOq4=&xsec_source=pc_search
loss等概念不好理解,1,要是agent没有基础的话是不是得从机器学习开始看然后再看深度学习？,AI学习路线规划指导,AI学习路线智能规划Agent（根据基础推荐学习顺序）,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
不清楚AI Agent实习需要哪些技术储备,1,想问下学长，找agent实习的话有可以快速入门的项目推荐吗,快速入门的Agent项目推荐,Agent项目学习路线规划产品,https://www.xiaohongshu.com/explore/69be69140000000021010e56?xsec_token=ABdkUKCMd_18FuXS2udFKlRTQFlcI-_9pmG9RM7vtkZas=&xsec_source=pc_search
不断追逐新workflow，陷入“磨刀不误砍柴工”借口,1,"我拿""磨刀不误砍柴工""当借口，AI Agent玩儿的不亦乐乎。",需要从工具沉迷中脱离，回归实质产出,,https://www.xiaohongshu.com/explore/69ca7415000000002103a9bd?xsec_token=ABaepsnBqiEJOIuZ7ptUVCBUa6JuJKAv_YddTR41Rmdyg=&xsec_source=pc_search
不会拆解任务,1,最近在面试别人 简历写会agent结果不会写prompt 也不会拆解任务 线上笔试就露馅的 多深挖几句就不会了,真正掌握agent项目实战能力,agent技能评估/模拟面试工具,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
不会后端技术，在暑期Agent实习面试中处于劣势,1,我暑期面agent不会后端好吃亏，感觉现在好多面试官都是后端转的rag，agent问得反而不深,后端技术学习路径,Agent学习路线中增加后端模块（Python后端、数据库、API开发）,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search
不了解行业新工具和skills,1,基于您的面试经验 我想请教下我个人偏技术相关 熟悉很多ai知识和开发要领 您觉得会在这个岗位占优势吗？,想了解技术背景在AI PM岗位的竞争力,AI PM面试题库/实战模拟工具,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
不主动展示优点，等待面试官引导,1,一直写的是学习，原来是大忌！感觉自己对项目还是说不太明白，讲话也很没有逻辑，简历也没有写好，不主动说优点还等面试官来引导。,需要学习如何把开源项目转化为自己的简历素材,"简历AI诊断工具：检测简历中的""学习""等弱势词汇",https://www.xiaohongshu.com/explore/69f5912600000000350312e2?xsec_token=ABuNsgyCSuf2KqehYQ7mppDSplLuH6S21yUUN9tM4kUYQ=&xsec_source=pc_search
下班后精力不足难以维护开源项目,1,常见程序员副业有这些：1.自媒体，技术博客等 2.独立开发，外包开发 3.录课程，教编程...,寻找副业方向,,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
「菜也没关系」的学习焦虑,1,最近在学习agent的相关原理以及搭建各种agent，免费申请了Mimo的Max计划，正在狠狠使用，后面还是计划多参加一些活动类似黑客松，菜也没关系，以赛代练进步最快。,快速理解Agent原理的方法,AI学习路径规划Agent（根据目标岗位推荐学习路线）,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
loss概念难以理解,1,那个旅游agent其实也很简单 感觉helloagent里大部分讲他框架怎么设计 但是实际没什么要翘的代码,AI/Agent框架学习指导,Agent项目学习助手：帮助拆解旅游agent等实际项目的代码实现,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
ICP备案和公司注册流程复杂,1,整套流程里，写代码只占不到30%，真正的是后面这70%的“软成本”,降低App开发合规成本的解决方案,AI辅助合规流程（如备案材料自动生成）,https://www.xiaohongshu.com/explore/68f5fbd8000000000301b430?xsec_token=ABYZ_9FrX4unhpZe27_19YnpsK5kH7Vl818FBkAOJzoSE=&xsec_source=pc_search
loss函数不好理解,1,随便投个学历厂拿段实习吧主播，暑期和日常都行，其实没必要学这么多，agent方向很多东西你能有个概念能答上来就行了，反而是开发的八股会问的细,需要实习经历,AI Agent学习路径规划Agent（根据面试需求智能推荐学习重点）,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
loss 概念不好理解,1,目前agent项目备选：自己根据helloagent实现旅游助手，或者买个付费教程 rag微调打算看看FinGLM 再高级一点看看能不能复现一个agentic rl论文,系统化的 AI/Agent 学习路径,Agent 学习助手：自动生成学习计划、跟踪进度,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
demo测试无法真正落地,1,agent实现是简单的，难得是优化部分，这部分耗时长且没数据基本搞不来（demo测几条就结束，基本没条件）,完整路线的agent项目教程,agent项目数据模拟/生成工具,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
agent项目优化部分耗时长,1,agent实现是简单的，难得是优化部分，这部分耗时长且没数据基本搞不来（demo测几条就结束，基本没条件）,完整路线的agent项目教程,agent项目数据模拟/生成工具,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
SFT数据集构建策略,1,手撕代码：torch写SFT的loss计算代码（注意shift right）,Agent面试准备,Agent面试题库/模拟面试Agent,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
RAG系统评估指标缺失,1,手撕代码：torch写SFT的loss计算代码（注意shift right）,Agent面试准备,Agent面试题库/模拟面试Agent,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
INTP的多任务浅尝辄止,1,claude 赋予了我远超我水准的代码能力，之前所有的想法几十个同时开始弄，每个都弄到一半不想弄了,需要AI工具辅助完成项目,针对ADHD/执行力弱人群的AI任务分解助手,https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
INTP型人格的执行力问题,1,每天但凡想偷懒躺一下，都会想着今天的claude code还没有物尽其用于是爬起来干会活,需要外部约束力帮助启动任务,为ADHD/拖延症用户设计带激励机制的找工Agent,https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
不知道如何获得更多面试机会,1,求问怎么才能获得更多面试机会[哭惹R],获得更多面试机会的方法,面试机会预测/匹配工具：基于用户背景智能推荐更容易拿到面试的岗位,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
不知道怎么展示agent的工程价值,1,能写进简历的agent项目，和真正有工程价值的agent项目，判断标准不是复杂度，是有没有处理过真实的失败场景。,需要能写进简历的有价值的agent项目,Agent项目选择评估工具：基于用户技术栈推荐合适的项目方向,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search
对AI一知半解,1,基于您的面试经验 我想请教下我个人偏技术相关 熟悉很多ai知识和开发要领 您觉得会在这个岗位占优势吗？,想了解技术背景在AI PM岗位的竞争力,AI PM面试题库/实战模拟工具,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
多次面试无offer，简历竞争力不够,1,想问问有没有什么比较好上手，好直接进行学习的并且学习时间也不会很长的Agent项目，我可以花钱买🥹,需要简单、容易上手的Agent项目,Agent项目推荐系统：根据用户背景推荐合适难度的项目,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
大模型基础薄弱，担忧简历竞争力不足,1,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent,简历优化建议,Agent简历优化Agent：根据用户描述的Agent项目经历，生成专业化的简历描述和量化指标建议,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
大模型基础比较薄弱,1,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent。想找那种agent多一些，不太涉及llm的实习。,简历优化建议/锐评,简历 AI 评测/拷打分,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
大学生缺乏有竞争力的AI项目经验,1,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,需要能写进简历的高质量AI项目,开发简历项目生成器，帮助用户快速搭建可写的Agent项目,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
大学生暑期想赚钱但缺乏渠道,1,将客户的问题描述清楚，直接扔给gpt。gpt给出的代码可能不能一次成功，如果报错了就重新抛给它，让它继续修改，直到代码可以正常运行。,副业/兼职机会,AI辅助接单Agent：帮助用户筛选需求、报价、自动生成代码方案,https://www.xiaohongshu.com/explore/668b88520000000025002abb?xsec_token=AB7kAw-HvVfJFD4kGj4sP1TbRnlPydqnwhQRTyAO0wRrQ=&xsec_source=pc_search
大学生想要经济独立但缺乏渠道,1,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,寻找适合大学生的兼职机会,兼职平台聚合与筛选工具,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
大厂更新淘汰速度快,1,工作越久其实越有点焦虑未来发展问题，因为我不是那种技术型大佬，大龄女程序员比男程序员处境更难，大厂的更新汰换速度蛮快的,寻找不影响正职的副业项目,程序员副业推荐Agent：根据技能评估推荐适合的副业类型,https://www.xiaohongshu.com/explore/6911bbda000000000400748f?xsec_token=ABBJIlizVb67Tda8IeHrhr93uR32PU1wudEcCViJnhQz8=&xsec_source=pc_search
多项目并行管理困难,1,有ADHD的INTP都去用agent吧，一年半载启动不了的项目一晚上能做八个,提升项目启动率,面向ADHD/拖延症人群的Agent工具设计,https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
多深挖几句就不会了,1,最近在面试别人 简历写会agent结果不会写prompt 也不会拆解任务 线上笔试就露馅的 多深挖几句就不会了,真正掌握agent项目实战能力,agent技能评估/模拟面试工具,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
多工具高并发场景下的延迟优化,1,手撕代码：torch写SFT的loss计算代码（注意shift right）,Agent面试准备,Agent面试题库/模拟面试Agent,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
大龄女程序员职场处境比男程序员更难,1,第二副业好想做不太费脑子的啊，体力一点都行hhh（痴心妄想）希望现阶段时间要求不要太高，重力还是在正职上,找到可发展的第二职业方向,程序员副业方向诊断工具/agent（根据技能画像推荐副业路径）,https://www.xiaohongshu.com/explore/6911bbda000000000400748f?xsec_token=ABBJIlizVb67Tda8IeHrhr93uR32PU1wudEcCViJnhQz8=&xsec_source=pc_search
向量数据库相关技术经验不足,1,请问修改的时候加的向量数据库也是从零开始搭吗，还是就是改一下原项目的数据？,需要了解向量数据库的搭建方法,Agent项目开发教程（涵盖向量数据库搭建）,https://www.xiaohongshu.com/explore/69f5912600000000350312e2?xsec_token=ABuNsgyCSuf2KqehYQ7mppDSplLuH6S21yUUN9tM4kUYQ=&xsec_source=pc_search
可能暗示对AI取代工作的担忧,1,我们一天最多一次3亿，上一年一年才三亿，当然也有可能是Opencode工具的subagent有问题导致的，平时一天用4千万token这样，ai发展的超级快，现在我们公司的供应商管理、转账全部给ai做了,,企业级Agent应用场景（供应商管理、自动化转账）可作为产品设计参考,https://www.xiaohongshu.com/explore/698c725a000000000e00efff?xsec_token=ABOlRr49EXXx3JNvF_QdO7nDE-57b-OMghEqIH--OoUDk=&xsec_source=pc_search
双非院校学生在Agent领域求职可能面临学历歧视,1,agent找工作和算法一样对学历要求高，不要双非吗？,了解Agent领域招聘的真实学历要求,提供Agent领域招聘学历要求分析功能,https://www.xiaohongshu.com/explore/69eda6f0000000001a0377d6?xsec_token=ABi4nt48DhkLWSx7p21vI5v1jyUOIHxXJYmTBnlzcSOq4=&xsec_source=pc_search
卖课只教技能不教变现路径,1,卖课的从来不会说等你什么都学完了没地方接单子[doge][doge],AI技能变现的接单渠道,AI技能学习者与接单需求的匹配平台,https://www.xiaohongshu.com/explore/68f5fbd8000000000301b430?xsec_token=ABYZ_9FrX4unhpZe27_19YnpsK5kH7Vl818FBkAOJzoSE=&xsec_source=pc_search
单价过低,1,主要问题：boss直聘上的渠道直接拉一个群里，每天丢单子，看起来大部分是学生的作业和毕设，单价低，而且对技术栈要求杂，有fpga 嵌入式，有画multisim 仿真等，纯软很少，性价比低,更优质的接单渠道,对接单渠道进行智能筛选和评估的产品,https://www.xiaohongshu.com/explore/6888549f000000002203d7d1?xsec_token=AB5y7vigr5QenENFC4iMrRi1q_4gj78SvkSxkUmCBF_-0=&xsec_source=pc_search
单agent系统功能有限，像玩具,1,你得找个多agent，这种感觉就是玩具，感觉你可以试试往llmops那边靠，我感觉现在落地基本都是这种,需要从单agent升级到多agent架构,在找工Agent产品中增加'多agent架构设计指南'教程,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search
